,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,mahebourg,40.0,MU,1584213713.0,94.0,-20.41,57.7,77.0,1.12
1,pelym,84.0,RU,1584213770.0,81.0,61.01,62.0,31.98,9.86
2,chokurdakh,69.0,RU,1584213713.0,98.0,70.63,147.92,-28.14,4.25
3,port hardy,5.0,CA,1584213716.0,31.0,50.7,-127.42,35.6,13.87
4,mataura,85.0,NZ,1584213315.0,86.0,-46.19,168.86,51.01,1.99
5,kodiak,1.0,US,1584213342.0,68.0,57.79,-152.41,28.4,6.93
6,jamestown,90.0,US,1584213148.0,59.0,42.1,-79.24,41.0,5.82
7,qaanaaq,0.0,GL,1584213301.0,60.0,77.48,-69.36,-19.14,4.81
8,banda aceh,84.0,ID,1584213773.0,88.0,5.56,95.32,75.9,2.71
9,hobart,46.0,AU,1584213333.0,81.0,-42.88,147.33,52.0,5.82
10,valera,6.0,VE,1584213773.0,50.0,9.32,-70.6,85.8,4.9
11,port elizabeth,20.0,ZA,1584213774.0,88.0,-33.92,25.57,66.2,12.75
12,dikson,73.0,RU,1584213401.0,98.0,73.51,80.55,-12.66,12.44
13,bubaque,37.0,GW,1584213609.0,59.0,11.28,-15.83,83.46,18.54
14,albany,75.0,US,1584213133.0,42.0,42.6,-73.97,48.0,18.34
15,grand gaube,40.0,MU,1584213547.0,94.0,-20.01,57.66,77.0,1.12
16,avarua,82.0,CK,1584213474.0,78.0,-21.21,-159.78,82.4,5.82
17,sitka,1.0,US,1584213725.0,59.0,57.05,-135.33,35.6,2.01
19,souillac,40.0,MU,1584213209.0,94.0,-20.52,57.52,77.0,1.12
20,ambon,40.0,ID,1584213775.0,88.0,-3.7,128.18,78.8,8.05
21,yenagoa,17.0,NG,1584213470.0,54.0,4.92,6.26,87.24,5.64
22,pevek,30.0,RU,1584213462.0,89.0,69.7,170.31,-16.26,9.75
23,arlit,0.0,NE,1584213739.0,9.0,18.74,7.39,80.04,9.51
24,bengkulu,100.0,ID,1584213431.0,90.0,-3.8,102.27,75.18,3.8
25,padang,100.0,ID,1584213723.0,93.0,-0.95,100.35,69.6,5.61
26,busselton,83.0,AU,1584213326.0,98.0,-33.65,115.33,66.0,13.27
27,faanui,11.0,PF,1584213189.0,78.0,-16.48,-151.75,82.74,16.46
28,yellowknife,90.0,CA,1584213415.0,59.0,62.46,-114.35,3.0,12.75
29,atuona,2.0,PF,1584213438.0,73.0,-9.8,-139.03,81.66,11.21
30,beisfjord,90.0,NO,1584213776.0,92.0,68.38,17.6,28.4,19.46
31,saint-georges,75.0,GD,1584213560.0,70.0,12.06,-61.75,84.2,9.15
